source_id	source_origin	source_path	source_role	source_family	title	version_scope	language	authority_label	aid_classification	classification_evidence	selection_decision	extraction_mode	source_sha256	byte_count	line_count	estimated_tokens	selected_by_job	last_verified_job	notes
SRC-000017	repo	Manuals/Altibase_7.1/eng/Adapter for Oracle User's Manual.md	product_source	migration_oracle	Altibase 7.1	7.1	en	English extraction aid			include_exact	exact_markdown	35072dab9f5b7cfaad16533c44b9baee03b2fff43688c13d97047a4a97ca4267	61072	1364	15225	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000018	repo	Manuals/Altibase_7.1/eng/Administrator's Manual.md	product_source	administrator_operations	Altibase 7.1	7.1	en	English extraction aid			include_exact	exact_markdown	aace8d29a80a7f2e2dbff8dbc1facc73189f761ebfcc4b16c039f5c64a75fcc2	540475	10503	134830	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000019	repo	Manuals/Altibase_7.1/eng/Altibase C Interface Manual.md	product_source	c_cli_odbc_precompiler	Altibase 7.1	7.1	en	English extraction aid			include_exact	exact_markdown	59b9794bb2e112f05e84a2065865a0196ad21351a58f5bd96ee1accfd310342f	157844	3820	39432	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000020	repo	Manuals/Altibase_7.1/eng/Altibase SSL TLS User's Guide.md	product_source	security_ssl_tls	Altibase SSL/TLS User's Guide	7.1	en	English extraction aid			include_exact	exact_markdown	c11acbc6ee62033e2ef7fe6db9bda1a76f4a16cf4c718207fc2ae32add468f41	43493	921	10847	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000021	repo	Manuals/Altibase_7.1/eng/CLI User's Manual.md	product_source	c_cli_odbc_precompiler	CLI User's Manual	7.1	en	English extraction aid			include_exact	exact_markdown	a086bfdc28d3a7580fc1d67600dfcb51f4201f8876b555237b9381cdc02bc700	430327	10213	107282	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000022	repo	Manuals/Altibase_7.1/eng/DB Link User's Manual.md	product_source	dblink_hadoop_external_connectors	Altibase 7.1	7.1	en	English extraction aid			include_exact	exact_markdown	bf4a695e8f151a761f1231ee4bb5db85f2e3a8d7cd0bac140f48d6b7fd2f10f9	110439	2696	27570	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000023	repo	Manuals/Altibase_7.1/eng/Error Message Reference.md	product_source	error_message_reference	Altibase 7.1	7.1	en	English extraction aid			include_exact	exact_markdown	5ecada039287eb6e6cd0742e28b9900b0cd6e98177687ee384b3e9ad38a2255e	754363	21071	188460	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000024	repo	Manuals/Altibase_7.1/eng/External Procedures Manual.md	product_source	stored_external_procedures	C/C++ External Procedures Manual	7.1	en	English extraction aid			include_exact	exact_markdown	e366a1e6c8e9a2a933d28d6591d3e30d5c7114bf5089105740a0c8d54028ab0c	45132	1061	11259	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000025	repo	Manuals/Altibase_7.1/eng/General Reference-1.Data Types & Altibase Properties.md	product_source	general_reference_1_datatypes_properties	General Reference-1.Data Types & Altibase Properties	7.1	en	English extraction aid			include_exact	exact_markdown	b93fe0fb4a6786f6d333769db67aaedb4033881e479d9f4282e77e4af0ba38a5	357460	15313	89238	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000026	repo	Manuals/Altibase_7.1/eng/General Reference-2.The Data Dictionary.md	product_source	general_reference_2_dictionary_views	General Reference-2.The Data Dictionary	7.1	en	English extraction aid			include_exact	exact_markdown	feda73ae84b782b1f1a9fcd0f04fea1abad4a921d80f50d9fc1730749eed2342	591288	12309	147730	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000027	repo	Manuals/Altibase_7.1/eng/Getting Started Guide.md	product_source	getting_started_installation	Altibase 7.1	7.1	en	English extraction aid			include_exact	exact_markdown	4164bd025b7842e9563ba214dce6c35241897c21ef25239d0184f578d12f117b	84962	2284	21204	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000028	repo	Manuals/Altibase_7.1/eng/Hadoop Connector User's Manual.md	product_source	dblink_hadoop_external_connectors	Altibase 7.1	7.1	en	English extraction aid			include_exact	exact_markdown	1f985f68b34252df7cd3908e0187ec8a68b928bcab6050f16790e38ced8e5d04	23978	607	5961	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000029	repo	Manuals/Altibase_7.1/eng/Installation Guide.md	product_source	getting_started_installation	Altibase 7.1	7.1	en	English extraction aid			include_exact	exact_markdown	aaa058bf3a6a8d1b083dfdfae38eb76d8ee49dbb03b32055ca2456e3deaa9a0c	66284	1766	16542	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000030	repo	Manuals/Altibase_7.1/eng/JDBC User's Manual.md	product_source	jdbc_java	Altibase 7.1	7.1	en	English extraction aid			include_exact	exact_markdown	02e70adce3ab40aacaf024a4a70cd9933a8599d52b36761aeee6e2fb83022a6f	192267	3914	47862	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000031	repo	Manuals/Altibase_7.1/eng/Log Analyzer User's Manual.md	product_source	log_analyzer	Altibase 7.1	7.1	en	English extraction aid			include_exact	exact_markdown	7c59f7e7cd6bc6a43b99344aec1e8a6ea7561b4c7b4066ccd0001f63cc4fb9c1	163272	5747	40680	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000032	repo	Manuals/Altibase_7.1/eng/Monitoring API Developer's Guide.md	product_source	monitoring_api_snmp	Altibase 7.1	7.1	en	English extraction aid			include_exact	exact_markdown	587fee41670c2080fe6840a20d296cba18c6ad2845792c2b01d67a3020dd79a6	92994	2815	23224	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000033	repo	Manuals/Altibase_7.1/eng/New Features Guide.md	product_source	release_notes_platform	Release 7.1	7.1	en	English extraction aid			include_exact	exact_markdown	c825f6d747a688a4b40098f0a7aa6777acd47891c60e54759cc73a03212e5f79	44692	1454	11146	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000034	repo	Manuals/Altibase_7.1/eng/ODBC User's Manual.md	product_source	c_cli_odbc_precompiler	ODBC User\'s Manual	7.1	en	English extraction aid			include_exact	exact_markdown	bd4fdd1acffd01f515b621df917e69fe5fcb34ddffca47be8c3d137166f03a67	24097	631	5997	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000035	repo	Manuals/Altibase_7.1/eng/Performance Tuning Guide.md	product_source	performance_tuning	Altibase 7.1	7.1	en	English extraction aid			include_exact	exact_markdown	f23ea56cf09bab245bbaaaab59207e2c0bb3a8379e1710d5c8cbda5c36889e8a	243591	6125	60849	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000036	repo	Manuals/Altibase_7.1/eng/Precompiler User’s Manual.md	product_source	c_cli_odbc_precompiler	Altibase 7.1	7.1	en	English extraction aid			include_exact	exact_markdown	0b6c48f54af79594b576d15dd4fa37da18c211650338d797ee0df2854585be0d	378854	10203	94573	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000037	repo	Manuals/Altibase_7.1/eng/README.md	product_source	source_index	Altibase 7.1 English manuals	7.1	en	English extraction aid			include_exact	exact_markdown	cfa429d7d631b0649a69c660b9971729ec74ebfa6c3cd83e74b1d9d6d235c412	5432	86	1358	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000038	repo	Manuals/Altibase_7.1/eng/Replication Manual.md	product_source	replication_manual	Altibase 7.1	7.1	en	English extraction aid			include_exact	exact_markdown	ed8c8f9c4e9dd39a0c1d88ffacd4455f4bca4cf3ab4319e7e40dc4d3c9b5a40b	230229	5659	57461	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000039	repo	Manuals/Altibase_7.1/eng/SNMP Agent Guide.md	product_source	monitoring_api_snmp	Altibase 7.1	7.1	en	English extraction aid			include_exact	exact_markdown	36a7736a629f38dccc42498b55210e4bd1146b9354b62bc661f43551fa66c2f6	63040	1807	15735	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000040	repo	Manuals/Altibase_7.1/eng/SQL Reference.md	product_source	sql_reference	SQL Reference	7.1	en	English extraction aid			include_exact	exact_markdown	c5c0dda0cd9c4dda198db350284bf3fd83311b021c48ddd442ae65d3f283c2bd	761533	23580	190023	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000041	repo	Manuals/Altibase_7.1/eng/Spatial SQL Reference.md	product_source	spatial_nifi_tableau	Spatial SQL Reference	7.1	en	English extraction aid			include_exact	exact_markdown	b80f57b1c63252b6d2b3a8236fca7db2f69e7eb18d17679de941c398891e764b	250980	7129	62547	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000042	repo	Manuals/Altibase_7.1/eng/Stored Procedures Manual.md	product_source	stored_external_procedures	Altibase 7.1	7.1	en	English extraction aid			include_exact	exact_markdown	5464dccfc1aaf294f8f3b1794705db732eaf87eebe153eb99bdf18e3c16decfc	468428	15920	116976	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000043	repo	Manuals/Altibase_7.1/eng/Utilities Manual.md	product_source	utilities_datacompj	Altibase 7.1	7.1	en	English extraction aid			include_exact	exact_markdown	acfa91218c57c9b69b9a8615989739ced75fbd0efbd22b93808d266fde5de054	230302	4470	57439	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000044	repo	Manuals/Altibase_7.1/eng/iLoader User's Manual.md	product_source	isql_iloader	Altibase 7.1	7.1	en	English extraction aid			include_exact	exact_markdown	56c6ec17c8bcde40865999b7869429bd7cf915d6934bde7ea7a73939f5bf6205	111715	2699	27839	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000045	repo	Manuals/Altibase_7.1/eng/iSQL User's Manual.md	product_source	isql_iloader	Altibase 7.1	7.1	en	English extraction aid			include_exact	exact_markdown	833b95a97c9e55424c49bc95bf6de42c20103ed094fe1f00c321e1441a695283	127790	3420	31901	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000046	repo	Manuals/Altibase_7.1/kor/API User's Manual.md	product_source	c_cli_odbc_precompiler	Altibase 7.1	7.1	ko	Korean authoritative			include_exact	exact_markdown	8bcb2351404b8b2a77951ac8f785b511230ba68851b670fc8e2fdd79be7e9b1a	186952	4784	34005	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000047	repo	Manuals/Altibase_7.1/kor/Adapter for JDBC User's Manual.md	product_source	jdbc_java	Altibase 7.1	7.1	ko	Korean authoritative			include_exact	exact_markdown	b3bd03aa7a9e12b747eb8260b31ad819dff81e84c62648f1d9ffb9b72fdfb9a7	59524	1288	9902	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000048	repo	Manuals/Altibase_7.1/kor/Adapter for Oracle User's Manual.md	product_source	migration_oracle	Altibase 7.1	7.1	ko	Korean authoritative			include_exact	exact_markdown	110929edb7c80e4db8c435680c6700701cda95ea09087dadf4f2ce3668af76fe	64518	1415	10452	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000049	repo	Manuals/Altibase_7.1/kor/Administrator's Manual.md	product_source	administrator_operations	Altibase 7.1	7.1	ko	Korean authoritative			include_exact	exact_markdown	0e2aa32e4b2854fa57363ab83b51a8f7a6864e3b74486ddc8aa9a631571d956a	591057	10426	82380	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000050	repo	Manuals/Altibase_7.1/kor/Altibase C Interface Manual.md	product_source	c_cli_odbc_precompiler	Altibase 7.1	7.1	ko	Korean authoritative			include_exact	exact_markdown	a232548525fe2dd87ed98378d09eb1c8930af587677b681c20ad8f1e027f7f9f	175733	4355	31004	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000051	repo	Manuals/Altibase_7.1/kor/Altibase SSL TLS User's Guide.md	product_source	security_ssl_tls	Altibase SSL/TLS User's Guide	7.1	ko	Korean authoritative			include_exact	exact_markdown	8c62805ef37b2b8bd13be6c4dbfe90e588fd2b233eee8248b12848214046e6ed	47189	1095	7978	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000052	repo	Manuals/Altibase_7.1/kor/CLI User's Manual.md	product_source	c_cli_odbc_precompiler	CLI User's Manual	7.1	ko	Korean authoritative			include_exact	exact_markdown	5b3db937c6a43c96fb4e2a068cd14d05a65405d61b29a702e5f5a90526a65c36	542151	11140	107151	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000053	repo	Manuals/Altibase_7.1/kor/DB Link User's Manual.md	product_source	dblink_hadoop_external_connectors	Altibase 7.1	7.1	ko	Korean authoritative			include_exact	exact_markdown	6a076dda45148bce0b720d175807ca78cb603345a217db2275c4f6912433910a	131230	3070	22130	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000054	repo	Manuals/Altibase_7.1/kor/Error Message Reference.md	product_source	error_message_reference	Altibase 7.1	7.1	ko	Korean authoritative			include_exact	exact_markdown	ecda6768fb0cf4d0773af3e22e8b8f3fda06c46856de6c1ddfd801a58c3e1634	760861	21375	189824	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000055	repo	Manuals/Altibase_7.1/kor/External Procedures Manual.md	product_source	stored_external_procedures	C/C++ External Procedures Manual	7.1	ko	Korean authoritative			include_exact	exact_markdown	cf2276cf2036ad48e94b163fefeb4e6bf0ebe04386b3e004a32d88134e6d113b	47155	1061	7900	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000056	repo	Manuals/Altibase_7.1/kor/General Reference-1.Data Types & Altibase Properties.md	product_source	general_reference_1_datatypes_properties	Altibase 7.1	7.1	ko	Korean authoritative			include_exact	exact_markdown	4b5a19d1f8c99b370289e87e05fd350fd83681a9a2bf8e7ff7d89c6bfe8f5987	381882	15737	60737	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000057	repo	Manuals/Altibase_7.1/kor/General Reference-2.The Data Dictionary.md	product_source	general_reference_2_dictionary_views	Altibase 7.1	7.1	ko	Korean authoritative			include_exact	exact_markdown	c9e13dec08479e5dd7733e17a2014024534d36e800b0e81598dde562c29a83bc	625779	12955	109243	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000058	repo	Manuals/Altibase_7.1/kor/Getting Started Guide.md	product_source	getting_started_installation	Altibase 7.1	7.1	ko	Korean authoritative			include_exact	exact_markdown	bb6e7d5bb0ef800eb37550b4752a744eed446e26c477f5a7810e8ee6c0502fe3	92042	2241	14468	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000059	repo	Manuals/Altibase_7.1/kor/Hadoop Connector User's Manual.md	product_source	dblink_hadoop_external_connectors	Altibase 7.1	7.1	ko	Korean authoritative			include_exact	exact_markdown	17187ee29f859f188907648282f0125d8c482018478625524bb76bd7e11f3dc4	27965	711	4786	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000060	repo	Manuals/Altibase_7.1/kor/Installation Guide.md	product_source	getting_started_installation	Altibase 7.1	7.1	ko	Korean authoritative			include_exact	exact_markdown	af05344cbc4621dfc412a6afd7a432237f68cb79ae542fd792fa88ae2423807d	71933	1797	12194	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000061	repo	Manuals/Altibase_7.1/kor/JDBC User's Manual.md	product_source	jdbc_java	Altibase 7.1	7.1	ko	Korean authoritative			include_exact	exact_markdown	8c6a5ba2c6383126fbce015a89f5d1d88567742077e3d6e3df8c64b805736caf	223704	4445	45100	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000062	repo	Manuals/Altibase_7.1/kor/Log Analyzer User's Manual.md	product_source	log_analyzer	Altibase 7.1	7.1	ko	Korean authoritative			include_exact	exact_markdown	ad573c636b65e4b927777633cd3d95021bc529d90c1eb30d3ee6aa19953303ac	152463	6011	31590	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000063	repo	Manuals/Altibase_7.1/kor/Monitoring API Developer's Guide.md	product_source	monitoring_api_snmp	Altibase 7.1	7.1	ko	Korean authoritative			include_exact	exact_markdown	40405790aabedd5b3251f8bc14cbfe2ae8e2aa2151cb4e7940705a8f8fcd1328	90092	2944	18471	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000064	repo	Manuals/Altibase_7.1/kor/New Features Guide.md	product_source	release_notes_platform	Altibase 7.1	7.1	ko	Korean authoritative			include_exact	exact_markdown	043571626f892ae9b1041219bd5cd4343b4f82f0e8b8ad967a6ea3c8492e3327	47866	1626	7533	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000065	repo	Manuals/Altibase_7.1/kor/ODBC User's Manual.md	product_source	c_cli_odbc_precompiler	ODBC User\'s Manual	7.1	ko	Korean authoritative			include_exact	exact_markdown	83332fc494d1f9f56a2095976d39725f129c5c7ea69df1fd48ade6bccf1ca6fe	25117	701	4934	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000066	repo	Manuals/Altibase_7.1/kor/PDF/README.md	product_source	source_index	Altibase 7.1 Korean manuals	7.1	ko	Korean authoritative			include_exact	exact_markdown	98728363876543b755dcec3c3694a98dea864537f98da8ebcf6a6928b0f829ce	5363	84	1341	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000067	repo	Manuals/Altibase_7.1/kor/Performance Tuning Guide.md	product_source	performance_tuning	Altibase 7.1	7.1	ko	Korean authoritative			include_exact	exact_markdown	de7addd72b962eccb122dc9816768c3685a314e86d495264b3c99c3fc06cd496	266300	6381	44985	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000068	repo	Manuals/Altibase_7.1/kor/Precompiler User's Manual.md	product_source	c_cli_odbc_precompiler	Altibase 7.1	7.1	ko	Korean authoritative			include_exact	exact_markdown	8d4231614d946300a9ecd3ffebf9a598f77ae22cba902923bba11c711a6bdcfc	356305	10518	63045	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000069	repo	Manuals/Altibase_7.1/kor/README.md	product_source	source_index	Altibase 7.1 Korean manuals	7.1	ko	Korean authoritative			include_exact	exact_markdown	a093423374454c33ce81c79bc121b994ea008a03376324a1d68502d4b4423648	5494	88	1365	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000070	repo	Manuals/Altibase_7.1/kor/Replication Manual.md	product_source	replication_manual	Replication Manual	7.1	ko	Korean authoritative			include_exact	exact_markdown	5716fbd1b9cbd2e69095a05ec7ea0880e4c50bd5717097a7c0e77bce44859956	246376	5924	42945	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000071	repo	Manuals/Altibase_7.1/kor/SNMP Agent Guide.md	product_source	monitoring_api_snmp	Altibase 7.1	7.1	ko	Korean authoritative			include_exact	exact_markdown	9c4a0633a777a602f1a1c9c23e509cff50db959baf318dd70c7fa6c38f0631f1	66003	1940	13192	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000072	repo	Manuals/Altibase_7.1/kor/SQL Reference.md	product_source	sql_reference	SQL Reference	7.1	ko	Korean authoritative			include_exact	exact_markdown	c52db470a4d342055183b374364ad4dace2d59923c1d0267fa6478d488bafaf9	835593	26565	148571	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000073	repo	Manuals/Altibase_7.1/kor/Sharding(deprecated).md	product_source	source_index	이 매뉴얼에 대하여	7.1	ko	Korean authoritative			include_exact	exact_markdown	caf3f61015f92a3d5b902bc8edbc4782f08fd4e68d110ed9f9931667be03fea8	255431	6176	40687	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000074	repo	Manuals/Altibase_7.1/kor/Spatial SQL Reference.md	product_source	spatial_nifi_tableau	Spatial SQL Reference	7.1	ko	Korean authoritative			include_exact	exact_markdown	48d08265d9bfd57db09bfe765dee43467a51f49e83ecdd777908082e39e949a5	249993	7669	47273	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000075	repo	Manuals/Altibase_7.1/kor/Stored Procedures Manual.md	product_source	stored_external_procedures	Altibase 7.1	7.1	ko	Korean authoritative			include_exact	exact_markdown	d7db6c28ac49f482923a7af6a14aa8a238a2c2637d7267e29fd4425b9e0640f9	480080	16814	90706	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000076	repo	Manuals/Altibase_7.1/kor/Utilities Manual.md	product_source	utilities_datacompj	Altibase 7.1	7.1	ko	Korean authoritative			include_exact	exact_markdown	fa9bffe67001b8ae126fcb4d96d778b698f9633348950b8a308e8cc99d32d69d	267062	4787	47560	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
SRC-000077	repo	Manuals/Altibase_7.1/kor/iLoader User's Manual.md	product_source	isql_iloader	Altibase 7.1	7.1	ko	Korean authoritative			include_exact	exact_markdown	a44183e8e186d1ec5be1db93259d82bb4f35a105de0455b642525a715e2be637	117708	3062	20539	S1-J002	S1-J002	Selected repository-local Markdown source from Manuals.
