exclusion_id	candidate_origin	candidate_path	source_family	version_scope	language	exclusion_type	exclusion_reason	evidence_ref	replacement_source_id	aid_tier	risk_label	selected_by_job	review_status	notes
EXC-000011	repo	3rd Party Guide for Altibase/eng/Images/JPA/spring_initializr.png	third_party_guides	multi	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000012	repo	3rd Party Guide for Altibase/eng/Images/NiFi/AddControllerService.png	third_party_guides	multi	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000013	repo	3rd Party Guide for Altibase/eng/Images/NiFi/ConfigureControllerService.png	third_party_guides	multi	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000014	repo	3rd Party Guide for Altibase/eng/Images/NiFi/GenerateTableFetch.png	third_party_guides	multi	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000015	repo	3rd Party Guide for Altibase/eng/Images/readme.md	third_party_guides	multi	en	low_information	Markdown file contains no substantive source text beyond a newline.	file_byte_count<=1			none	S1-J002	accepted	Placeholder Markdown file.
EXC-000016	repo	3rd Party Guide for Altibase/eng/Tableau User's Guide for Altibase/Images/image-1.png	third_party_guides	multi	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000017	repo	3rd Party Guide for Altibase/eng/Tableau User's Guide for Altibase/Images/image-2.png	third_party_guides	multi	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000018	repo	3rd Party Guide for Altibase/eng/Tableau User's Guide for Altibase/Images/image-3.png	third_party_guides	multi	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000019	repo	3rd Party Guide for Altibase/eng/Tableau User's Guide for Altibase/mysql_date_function.sql	third_party_guides	multi	en	non_markdown	SQL sidecar is useful operational evidence but is not eligible for the Stage 1 exact Markdown extraction mode.	3rd Party Guide for Altibase/eng/Tableau User's Guide for Altibase/Tableau User's Guide for Altibase.md			medium	S1-J002	accepted	Later text-sidecar extraction should promote this file if source-pack SQL sidecars become in scope.
EXC-000020	repo	3rd Party Guide for Altibase/kor/Images/JPA/application_properties_window.png	third_party_guides	multi	ko	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000021	repo	3rd Party Guide for Altibase/kor/Images/JPA/boot_dashboard_window.png	third_party_guides	multi	ko	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000022	repo	3rd Party Guide for Altibase/kor/Images/JPA/console_window.png	third_party_guides	multi	ko	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000023	repo	3rd Party Guide for Altibase/kor/Images/JPA/java_build_path_window.png	third_party_guides	multi	ko	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000024	repo	3rd Party Guide for Altibase/kor/Images/JPA/new_java_class_window.png	third_party_guides	multi	ko	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000025	repo	3rd Party Guide for Altibase/kor/Images/JPA/new_java_package_window.png	third_party_guides	multi	ko	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000026	repo	3rd Party Guide for Altibase/kor/Images/JPA/new_spring_starter_project_dependencies.png	third_party_guides	multi	ko	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000027	repo	3rd Party Guide for Altibase/kor/Images/JPA/new_spring_starter_project_window.png	third_party_guides	multi	ko	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000028	repo	3rd Party Guide for Altibase/kor/Images/JPA/pom_xml.png	third_party_guides	multi	ko	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000029	repo	3rd Party Guide for Altibase/kor/Images/JPA/sample_source_account.png	third_party_guides	multi	ko	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000030	repo	3rd Party Guide for Altibase/kor/Images/JPA/spring_initializr.png	third_party_guides	multi	ko	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000031	repo	3rd Party Guide for Altibase/kor/Images/NiFi/AddControllerService.png	third_party_guides	multi	ko	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000032	repo	3rd Party Guide for Altibase/kor/Images/NiFi/ConfigureControllerService.png	third_party_guides	multi	ko	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000033	repo	3rd Party Guide for Altibase/kor/Images/NiFi/GenerateTableFetch.png	third_party_guides	multi	ko	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000034	repo	3rd Party Guide for Altibase/kor/Images/readme.md	third_party_guides	multi	ko	low_information	Markdown file contains no substantive source text beyond a newline.	file_byte_count<=1			none	S1-J002	accepted	Placeholder Markdown file.
EXC-000035	repo	3rd Party Guide for Altibase/kor/Kubernetes User's Guide for Altibase.pdf	third_party_guides	multi	ko	non_markdown	PDF sidecar is outside the Stage 1 exact Markdown extraction mode; Markdown counterparts are selected where available.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000036	repo	3rd Party Guide for Altibase/kor/NiFi User's Guide for Altibase.pdf	third_party_guides	multi	ko	non_markdown	PDF sidecar is outside the Stage 1 exact Markdown extraction mode; Markdown counterparts are selected where available.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000037	repo	3rd Party Guide for Altibase/kor/Spring Data JPA User's Guide for Altibase.pdf	third_party_guides	multi	ko	non_markdown	PDF sidecar is outside the Stage 1 exact Markdown extraction mode; Markdown counterparts are selected where available.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000038	repo	3rd Party Guide for Altibase/kor/Spring Data JPA with Hibernate 6.4 User's Guide for Altibase.pdf	third_party_guides	multi	ko	non_markdown	PDF sidecar is outside the Stage 1 exact Markdown extraction mode; Markdown counterparts are selected where available.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000039	repo	3rd Party Guide for Altibase/kor/Tableau User's Guide for Altibase/Images/tableau_connection.png	third_party_guides	multi	ko	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000040	repo	3rd Party Guide for Altibase/kor/Tableau User's Guide for Altibase/Images/tableau_entry.png	third_party_guides	multi	ko	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000041	repo	3rd Party Guide for Altibase/kor/Tableau User's Guide for Altibase/Images/tableau_main.png	third_party_guides	multi	ko	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000042	repo	3rd Party Guide for Altibase/kor/Tableau User's Guide for Altibase/Tableau User's Guide for Altibase.pdf	third_party_guides	multi	ko	non_markdown	PDF sidecar is outside the Stage 1 exact Markdown extraction mode; Markdown counterparts are selected where available.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000043	repo	3rd Party Guide for Altibase/kor/Tableau User's Guide for Altibase/mysql_date_function.sql	third_party_guides	multi	ko	non_markdown	SQL sidecar is useful operational evidence but is not eligible for the Stage 1 exact Markdown extraction mode.	3rd Party Guide for Altibase/eng/Tableau User's Guide for Altibase/Tableau User's Guide for Altibase.md			medium	S1-J002	accepted	Later text-sidecar extraction should promote this file if source-pack SQL sidecars become in scope.
EXC-000044	repo	Manuals/Altibase_7.1/eng/media/ACI/5.png	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000045	repo	Manuals/Altibase_7.1/eng/media/ACI/5_eng.png	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000046	repo	Manuals/Altibase_7.1/eng/media/ACI/e5cfb3761673686d093a3b00c062fe7a.png	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000047	repo	Manuals/Altibase_7.1/eng/media/ACI/image004.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000048	repo	Manuals/Altibase_7.1/eng/media/ACI/image006.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000049	repo	Manuals/Altibase_7.1/eng/media/ACI/image008.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000050	repo	Manuals/Altibase_7.1/eng/media/ACI/image010.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000051	repo	Manuals/Altibase_7.1/eng/media/ACI/image012.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000052	repo	Manuals/Altibase_7.1/eng/media/ACI/image014.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000053	repo	Manuals/Altibase_7.1/eng/media/ACI/image016.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000054	repo	Manuals/Altibase_7.1/eng/media/ACI/image018.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000055	repo	Manuals/Altibase_7.1/eng/media/ACI/image020.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000056	repo	Manuals/Altibase_7.1/eng/media/ACI/image1.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000057	repo	Manuals/Altibase_7.1/eng/media/ACI/image2.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000058	repo	Manuals/Altibase_7.1/eng/media/ACI/image3.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000059	repo	Manuals/Altibase_7.1/eng/media/API/854d2590732a990a589c46dde6517ed7.png	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000060	repo	Manuals/Altibase_7.1/eng/media/API/DTC.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000061	repo	Manuals/Altibase_7.1/eng/media/API/adonet1.png	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000062	repo	Manuals/Altibase_7.1/eng/media/API/adonet2.png	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000063	repo	Manuals/Altibase_7.1/eng/media/API/dtc_distributed_transactions.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000064	repo	Manuals/Altibase_7.1/eng/media/API/e5cfb3761673686d093a3b00c062fe7a.png	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000065	repo	Manuals/Altibase_7.1/eng/media/API/f1756a8b99475d620e49461a31151bdd.jpg	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000066	repo	Manuals/Altibase_7.1/eng/media/API/image1.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000067	repo	Manuals/Altibase_7.1/eng/media/API/image10.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000068	repo	Manuals/Altibase_7.1/eng/media/API/image17.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000069	repo	Manuals/Altibase_7.1/eng/media/API/image18.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000070	repo	Manuals/Altibase_7.1/eng/media/API/image19.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000071	repo	Manuals/Altibase_7.1/eng/media/API/image2.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000072	repo	Manuals/Altibase_7.1/eng/media/API/image20.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000073	repo	Manuals/Altibase_7.1/eng/media/API/image21.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000074	repo	Manuals/Altibase_7.1/eng/media/API/image22.jpeg	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000075	repo	Manuals/Altibase_7.1/eng/media/API/image23.jpeg	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000076	repo	Manuals/Altibase_7.1/eng/media/API/image24.jpeg	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000077	repo	Manuals/Altibase_7.1/eng/media/API/image3.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000078	repo	Manuals/Altibase_7.1/eng/media/API/image4.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000079	repo	Manuals/Altibase_7.1/eng/media/API/image5.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000080	repo	Manuals/Altibase_7.1/eng/media/API/image6.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
EXC-000081	repo	Manuals/Altibase_7.1/eng/media/API/image7.gif	source_index	7.1	en	non_markdown	Media asset is outside the Stage 1 exact Markdown extraction mode; referenced Markdown sources are selected separately.	GPTs/reports/stage_01_source_pack_baseline_plan.md			low	S1-J002	accepted	Candidate remains available in the repository for later media/PDF/script-specific source handling.
