source_id	shard_id	shard_path	block_id	order_in_shard	source_start_line	source_end_line	source_sha256	extracted_body_sha256	block_byte_count	block_line_count	block_estimated_tokens	shard_estimated_tokens	upload_intended	validation_status	notes
AID-SRC-000242	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000011	11	1	289	d70fd80cdde1e8846053a02e2c87d093da00d51259cbb8843da48a19cbb77087	d70fd80cdde1e8846053a02e2c87d093da00d51259cbb8843da48a19cbb77087	16929	289	4225	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000265	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000012	12	1	42	8ac3342b5a5e2ad0b76c1670d3fb290793ef6beaa2ba17c80399c37e1e14b1d7	8ac3342b5a5e2ad0b76c1670d3fb290793ef6beaa2ba17c80399c37e1e14b1d7	3003	42	750	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000266	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000013	13	1	70	ffbadda8811ea33d3ff526a9f659006049a820d78888e37ec0226a8cafd463b4	ffbadda8811ea33d3ff526a9f659006049a820d78888e37ec0226a8cafd463b4	1978	70	495	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000267	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000014	14	1	368	35ecc978a3c903b84cb9fcf9cf4f525cdfcfa41c666acb0e2a49e6cce42d1d7d	35ecc978a3c903b84cb9fcf9cf4f525cdfcfa41c666acb0e2a49e6cce42d1d7d	11664	368	2916	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000268	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000015	15	1	388	1ccd8c2e96f88bdc5db1bb1fbb2f84d854054c415e7c338b417490f1cf695087	1ccd8c2e96f88bdc5db1bb1fbb2f84d854054c415e7c338b417490f1cf695087	14836	388	3708	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000269	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000016	16	1	95	6106c8459382835918d027d18ca964a08da7d00dc7c7baa49af99a929d6c80d6	6106c8459382835918d027d18ca964a08da7d00dc7c7baa49af99a929d6c80d6	4815	95	1198	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000270	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000017	17	1	39	57e7d5379ef97413a50e9d76fc3e08226147b4022da8516dffa3cbac55029458	57e7d5379ef97413a50e9d76fc3e08226147b4022da8516dffa3cbac55029458	1526	39	382	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000272	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000018	18	1	143	6c91f6bfbb0c3e549ac6b6fb638eabe32b19c40c4809b418ebc83c8cafc5624b	6c91f6bfbb0c3e549ac6b6fb638eabe32b19c40c4809b418ebc83c8cafc5624b	6494	143	1624	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000273	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000019	19	1	332	cae6ab9206ca9402de1fa05d8265d2140d2ee68e3a0fff713d7caa022474c6c2	cae6ab9206ca9402de1fa05d8265d2140d2ee68e3a0fff713d7caa022474c6c2	18499	332	4625	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000274	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000020	20	1	35	c425283c1602987f5ff35a9547dd7e803d68f241ed2651765288e7e65431cc88	c425283c1602987f5ff35a9547dd7e803d68f241ed2651765288e7e65431cc88	4245	35	1062	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000275	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000021	21	1	33	fcd6473cad8702460175e78145f9057e0e57fc1d571ca8288f7ce78291112e25	fcd6473cad8702460175e78145f9057e0e57fc1d571ca8288f7ce78291112e25	1233	33	309	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000315	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000022	22	1	981	bd52e2c0e5d9b755d17753f5bdc20891ec454737f47449c0de64df790bc71c33	bd52e2c0e5d9b755d17753f5bdc20891ec454737f47449c0de64df790bc71c33	46232	981	11548	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000334	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000023	23	1	200	9cd2a90074219a6b60df04b6cad097b18f4acb10fc8d7f509a9a3eea7b5c274d	9cd2a90074219a6b60df04b6cad097b18f4acb10fc8d7f509a9a3eea7b5c274d	7132	200	1783	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000341	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000024	24	1	361	ca36c8cfcb521b59ed2b4c39bfd39531f1bcefcadae96bcee197af6dac3831e4	ca36c8cfcb521b59ed2b4c39bfd39531f1bcefcadae96bcee197af6dac3831e4	21876	361	5462	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000354	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000025	25	1	1343	144d3408a85eeee3d410b609bfd57fb05a69dc650a580f4aec28830a00ab5a54	144d3408a85eeee3d410b609bfd57fb05a69dc650a580f4aec28830a00ab5a54	51687	1343	12911	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000380	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000026	26	1	120	c99612c187c8623c176b7e5977074c4f7a8dcd207d2ee79b52b1700b88deb68f	c99612c187c8623c176b7e5977074c4f7a8dcd207d2ee79b52b1700b88deb68f	6968	120	1742	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000381	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000027	27	1	74	8054c0d02a3b901401d315c4b192f154c98538464a1b92308269ef6053092ced	8054c0d02a3b901401d315c4b192f154c98538464a1b92308269ef6053092ced	5090	74	1273	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000382	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000028	28	1	63	3b0dbb7669f77cf6297df0d698389c33b12a504f2c9b6dabc821ebb9fb3bbe20	3b0dbb7669f77cf6297df0d698389c33b12a504f2c9b6dabc821ebb9fb3bbe20	2460	63	613	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000383	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000029	29	1	24	f1c00c46537d0f99c79744dc6837d0aa9425d94383ec731b0eedc9e7998ad341	f1c00c46537d0f99c79744dc6837d0aa9425d94383ec731b0eedc9e7998ad341	1049	24	263	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000401	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000030	30	1	270	eafb21fceafe25f49b1cedc754e9d34d1687751722c3a33279b39e94a3a8a853	eafb21fceafe25f49b1cedc754e9d34d1687751722c3a33279b39e94a3a8a853	11070	270	2768	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000113	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000031	31	1	53	0616edc6650a3c3653028dd2db40675dab6ab47754babe15ffd77b3a83e0ef4b	0616edc6650a3c3653028dd2db40675dab6ab47754babe15ffd77b3a83e0ef4b	3356	53	839	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000114	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000032	32	1	58	ea456e81390d9741b56604c62fe870c934287d3151791959bc3c266ca6ea4aff	ea456e81390d9741b56604c62fe870c934287d3151791959bc3c266ca6ea4aff	3860	58	965	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000115	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000033	33	1	45	ae8083edcb6842971639f1ea43c72794c336ef85bba5787491209759ce3ed6cf	ae8083edcb6842971639f1ea43c72794c336ef85bba5787491209759ce3ed6cf	2572	45	643	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000123	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000034	34	1	17	ffd84b889b1ca00290c77f34fefe8ee074da8ccb003e5aeae74b08d84d9a26c6	ffd84b889b1ca00290c77f34fefe8ee074da8ccb003e5aeae74b08d84d9a26c6	661	17	166	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000124	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000035	35	1	35	0969dd6558ff2c3415295cd50135dfa3354c9db8c28a07525c90cea2069f0caf	0969dd6558ff2c3415295cd50135dfa3354c9db8c28a07525c90cea2069f0caf	1783	35	446	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000125	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000036	36	1	104	74b17c41f452aadf0259acd5859c09eb5ab4a8f52e6e434416f229ae28737faf	74b17c41f452aadf0259acd5859c09eb5ab4a8f52e6e434416f229ae28737faf	8411	104	2101	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000329	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000037	37	1	355	cd7185797eb8ab4a2d80482755fc9e29094772b3b1b653a5876e32de4c3d8e85	cd7185797eb8ab4a2d80482755fc9e29094772b3b1b653a5876e32de4c3d8e85	22338	355	5554	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000335	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000038	38	1	77	4153c53b19d993e0843aec85b7415f087e01e5f9866c1d1b5357179934cf6c46	4153c53b19d993e0843aec85b7415f087e01e5f9866c1d1b5357179934cf6c46	6166	77	1542	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000336	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000039	39	1	73	22bd968506bba4131bdd4f6433cdafd203ae502b6984412b485117c75669e9b7	22bd968506bba4131bdd4f6433cdafd203ae502b6984412b485117c75669e9b7	4477	73	1120	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000337	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000040	40	1	49	c3a481a3b60e17e3d023c33f3df54792ae7ec315099603a090fcbfa5cbf4ee6f	c3a481a3b60e17e3d023c33f3df54792ae7ec315099603a090fcbfa5cbf4ee6f	2202	49	551	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000338	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000041	41	1	41	1282555f7a636752ecb745fda3c31724d26b922d8b7fd187bb668316f1568995	1282555f7a636752ecb745fda3c31724d26b922d8b7fd187bb668316f1568995	1871	41	468	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000339	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000042	42	1	90	883bdb46f4550689836b7aa8e69ecd8f503f97537eba1cc9fc2de6783b3fd1fb	883bdb46f4550689836b7aa8e69ecd8f503f97537eba1cc9fc2de6783b3fd1fb	5495	90	1374	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000340	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000043	43	1	30	1c6d42f4863db1cfb0e99f899beb46ad449597137ab7d33900cae15751871ea8	1c6d42f4863db1cfb0e99f899beb46ad449597137ab7d33900cae15751871ea8	1568	30	392	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000343	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000044	44	1	25	ecddba6c57070cce1e6e909327d07db4743316fa7f41565fd0f0fe01c12a9fb1	ecddba6c57070cce1e6e909327d07db4743316fa7f41565fd0f0fe01c12a9fb1	1225	25	307	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000344	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000045	45	1	144	87d660d3de9bc94931467a604435afbd722f351f9912f5721fadaa5e85f44e37	87d660d3de9bc94931467a604435afbd722f351f9912f5721fadaa5e85f44e37	8852	144	2204	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000005	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000046	46	1	137	cd72e4bb6d8a8a46bacf5d2c85722c8baf4b43bd786539a3f48e43c7d163155b	cd72e4bb6d8a8a46bacf5d2c85722c8baf4b43bd786539a3f48e43c7d163155b	6232	137	1558	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000006	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000047	47	1	168	d4379230a218d24aad8966a2a01f5050e655b4736fc4287dea3d1ab88085d1f4	d4379230a218d24aad8966a2a01f5050e655b4736fc4287dea3d1ab88085d1f4	5060	168	1265	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000007	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000048	48	1	55	f89750fc23ac004d28a23beccea63010b31618b11d504cff576f54181bd9d9e0	f89750fc23ac004d28a23beccea63010b31618b11d504cff576f54181bd9d9e0	1744	55	436	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000008	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000049	49	1	47	57e69b31aa91665d3fb80bcc0c5462e27d3fd6c486876776861a20e314f373ed	57e69b31aa91665d3fb80bcc0c5462e27d3fd6c486876776861a20e314f373ed	1624	47	406	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000009	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000050	50	1	790	c9823173e05e00d82bf0b5df2b289fa43bf95d6a735a3a13b528a5812e588af5	c9823173e05e00d82bf0b5df2b289fa43bf95d6a735a3a13b528a5812e588af5	24812	790	6203	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000010	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000051	51	1	219	3da3578f7ee9536937a6d1ab72d8e5e1926309d241e7f78524769b1d084e1340	3da3578f7ee9536937a6d1ab72d8e5e1926309d241e7f78524769b1d084e1340	6989	219	1732	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000011	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000052	52	1	112	b7eb9a9e19a6d0dcae188f58021777d7cfe4033a8cb0922b8ff36dcc16744553	b7eb9a9e19a6d0dcae188f58021777d7cfe4033a8cb0922b8ff36dcc16744553	3743	112	936	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000012	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000053	53	1	117	0e75c8dd53385d273cce4d1fa7129c04452cea8e58fc3d55d4b03fa501a899af	0e75c8dd53385d273cce4d1fa7129c04452cea8e58fc3d55d4b03fa501a899af	6085	117	1522	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000013	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000054	54	1	130	c7cb20f75f3f8ac8d60ea9a403c286a3a1de87f06ef1eb8391c847aab593fd03	c7cb20f75f3f8ac8d60ea9a403c286a3a1de87f06ef1eb8391c847aab593fd03	6500	130	1625	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000014	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000055	55	1	332	aead54a77f901f991a550954d73062c8808b004f5a365659e97d4a05c63faa83	aead54a77f901f991a550954d73062c8808b004f5a365659e97d4a05c63faa83	12611	332	3153	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000015	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000056	56	1	81	b9a8d42b329c2c050b25a3ea423340103b970390ae511acee2231dead9c5e676	b9a8d42b329c2c050b25a3ea423340103b970390ae511acee2231dead9c5e676	3449	81	863	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000016	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000057	57	1	60	c9324d83da866316382f27b48d3b285d57d532fc12426ca83aab56bd6a893235	c9324d83da866316382f27b48d3b285d57d532fc12426ca83aab56bd6a893235	2148	60	537	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000017	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000058	58	1	292	46bbb803c17ec6843678f055f851ec89c680deb0ae597a492fc1a8e047ba783c	46bbb803c17ec6843678f055f851ec89c680deb0ae597a492fc1a8e047ba783c	12142	292	3036	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000018	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000059	59	1	72	5f7e55bc66889ee42579aaa18e162a32ebeab2267bb64766d785e194722efdaf	5f7e55bc66889ee42579aaa18e162a32ebeab2267bb64766d785e194722efdaf	2095	72	524	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000019	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000060	60	1	82	035c6a864a663213b09328e6dc4120402666192910d6600f304279561337f656	035c6a864a663213b09328e6dc4120402666192910d6600f304279561337f656	4519	82	1130	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000020	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000061	61	1	114	8969a52614c5399ff81e63aa1c2624499bb9d9b19e172d65e02a954b7bb1e175	8969a52614c5399ff81e63aa1c2624499bb9d9b19e172d65e02a954b7bb1e175	3956	114	989	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000021	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000062	62	1	212	17947f14b64a8ac47c2fd60e5ab32305be3a238e87bb75588891d2ae11e329a4	17947f14b64a8ac47c2fd60e5ab32305be3a238e87bb75588891d2ae11e329a4	13812	212	3452	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000022	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000063	63	1	344	278a8b940fac334e4bf215fd645d072a8538b12a3cc6dddf4ea4614e9014b130	278a8b940fac334e4bf215fd645d072a8538b12a3cc6dddf4ea4614e9014b130	7266	344	1817	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000023	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000064	64	1	32	79f8a254e20ee16c221392efcdf10fa627d3647b87c872418cc9f8391152936d	79f8a254e20ee16c221392efcdf10fa627d3647b87c872418cc9f8391152936d	1247	32	312	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000024	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000065	65	1	99	e2822a1379d421cc4e808ba69b44a88496b4a7a02b412f204fb00db94218c963	e2822a1379d421cc4e808ba69b44a88496b4a7a02b412f204fb00db94218c963	6646	99	1662	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000025	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000066	66	1	210	810bb4d13259f3e0e62facdceb930988f0eac0d99fdec6c84462cd92d9774391	810bb4d13259f3e0e62facdceb930988f0eac0d99fdec6c84462cd92d9774391	11021	210	2756	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000026	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000067	67	1	173	9d25434dc57d9aefcdd4314371f98d5495bf6c61533195c52cfcaf7399844480	9d25434dc57d9aefcdd4314371f98d5495bf6c61533195c52cfcaf7399844480	7600	173	1900	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000027	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000068	68	1	67	07fbe35db08da80fb63935baa4b29cd4a34833843599862816e4f46d589a7228	07fbe35db08da80fb63935baa4b29cd4a34833843599862816e4f46d589a7228	5479	67	1369	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000028	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000069	69	1	94	03040bb0d59211ae69d00f100d28a9e7a70e7505396158ef70709fbc5e5b8571	03040bb0d59211ae69d00f100d28a9e7a70e7505396158ef70709fbc5e5b8571	3710	94	928	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000029	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000070	70	1	227	45a777dcab7e9fb0bf987144ead29f1adfb338a02b7a746585e96d0386a15b8c	45a777dcab7e9fb0bf987144ead29f1adfb338a02b7a746585e96d0386a15b8c	9560	227	2390	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000030	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000071	71	1	215	c816e5a95baa8b7a66f71188b41151917259473fafd0604346cae1c39a13927e	c816e5a95baa8b7a66f71188b41151917259473fafd0604346cae1c39a13927e	10952	215	2738	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000031	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000072	72	1	61	557dff04268fc6130496a439f7cb857c0e58ec40745601e23ea2de1b63cc5f2c	557dff04268fc6130496a439f7cb857c0e58ec40745601e23ea2de1b63cc5f2c	2294	61	574	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000032	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000073	73	1	339	0b1f1238666c8db4a1dc7727f5360e7e56461dc49337a257fc129d8c76e6d230	0b1f1238666c8db4a1dc7727f5360e7e56461dc49337a257fc129d8c76e6d230	9120	339	2280	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000116	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000074	74	1	78	b4f8ebd74a0f6f384044b000654c850a7ed644fe9e0bff6b57c7d4823e8e147f	b4f8ebd74a0f6f384044b000654c850a7ed644fe9e0bff6b57c7d4823e8e147f	2562	78	641	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000117	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000075	75	1	229	86d7ce0df4492b47e92dca1029703ad635d42b4127085a404f908e597e6f2dce	86d7ce0df4492b47e92dca1029703ad635d42b4127085a404f908e597e6f2dce	7573	229	1894	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000118	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000076	76	1	646	ae0c1ea9b9996f3d8ed5e5cc2d7e384d3f4d070ff458c2c2bb06013e4bf1a6af	ae0c1ea9b9996f3d8ed5e5cc2d7e384d3f4d070ff458c2c2bb06013e4bf1a6af	19986	646	4997	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000119	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000077	77	1	148	7b7ce8c67001743509ad829cc5625726e551e2fcf03812dc3669f5b92eee8fec	7b7ce8c67001743509ad829cc5625726e551e2fcf03812dc3669f5b92eee8fec	5020	148	1255	931168	no	pass	Exact source bytes copied into the source-pack shard body.
AID-SRC-000120	SHARD-001	GPTs/source_pack/source_pack_shard_001.md	BLOCK-000078	78	1	130	5556163f16e7dae30e7f84ff0179a75a45d24dbb52d04fdee6f92db42d2c2079	5556163f16e7dae30e7f84ff0179a75a45d24dbb52d04fdee6f92db42d2c2079	5228	130	1307	931168	no	pass	Exact source bytes copied into the source-pack shard body.
