ref_id	class	verdict	detail
img-06583	C	match	storage_clause: STORAGE ( ... ) with the four INITEXTENTS/NEXTEXTENTS/MINEXTENTS/MAXEXTENTS choices and MAXEXTENTS integer|UNLIMITED; diagram repeat loop represented by outer {} - all tokens present.
img-00658	C	match	maxsize_clause: MAXSIZE { UNLIMITED | integer [K|M|G] } - matches railroad diagram.
img-00748	C	match	maxsize_clause: MAXSIZE { UNLIMITED | integer [K|M|G] } - matches railroad diagram.
img-00752	C	match	maxsize_clause: MAXSIZE { UNLIMITED | integer [K|M|G] } - matches railroad diagram.
img-00758	C	match	maxsize_clause: MAXSIZE { UNLIMITED | integer [K|M|G] } - matches railroad diagram.
img-01796	C	match	maxsize_clause: MAXSIZE { UNLIMITED | integer [K|M|G] } - matches railroad diagram.
img-01886	C	match	maxsize_clause: MAXSIZE { UNLIMITED | integer [K|M|G] } - matches railroad diagram.
img-01890	C	match	maxsize_clause: MAXSIZE { UNLIMITED | integer [K|M|G] } - matches railroad diagram.
img-01896	C	match	maxsize_clause: MAXSIZE { UNLIMITED | integer [K|M|G] } - matches railroad diagram.
img-02974	C	match	maxsize_clause: MAXSIZE { UNLIMITED | integer [K|M|G] } - matches railroad diagram.
img-03064	C	match	maxsize_clause: MAXSIZE { UNLIMITED | integer [K|M|G] } - matches railroad diagram.
img-03068	C	match	maxsize_clause: MAXSIZE { UNLIMITED | integer [K|M|G] } - matches railroad diagram.
img-03074	C	match	maxsize_clause: MAXSIZE { UNLIMITED | integer [K|M|G] } - matches railroad diagram.
img-04170	C	match	maxsize_clause: MAXSIZE { UNLIMITED | integer [K|M|G] } - matches railroad diagram.
img-04261	C	match	maxsize_clause: MAXSIZE { UNLIMITED | integer [K|M|G] } - matches railroad diagram.
img-04265	C	match	maxsize_clause: MAXSIZE { UNLIMITED | integer [K|M|G] } - matches railroad diagram.
img-04271	C	match	maxsize_clause: MAXSIZE { UNLIMITED | integer [K|M|G] } - matches railroad diagram.
img-05305	C	match	maxsize_clause: MAXSIZE { UNLIMITED | integer [K|M|G] } - matches railroad diagram.
img-05395	C	match	maxsize_clause: MAXSIZE { UNLIMITED | integer [K|M|G] } - matches railroad diagram.
img-05399	C	match	maxsize_clause: MAXSIZE { UNLIMITED | integer [K|M|G] } - matches railroad diagram.
img-05405	C	match	maxsize_clause: MAXSIZE { UNLIMITED | integer [K|M|G] } - matches railroad diagram.
img-06504	C	match	maxsize_clause: MAXSIZE { UNLIMITED | integer [K|M|G] } - matches railroad diagram.
img-06595	C	match	maxsize_clause: MAXSIZE { UNLIMITED | integer [K|M|G] } - matches railroad diagram.
img-06599	C	match	maxsize_clause: MAXSIZE { UNLIMITED | integer [K|M|G] } - matches railroad diagram.
img-06605	C	match	maxsize_clause: MAXSIZE { UNLIMITED | integer [K|M|G] } - matches railroad diagram.
img-00991	C	match	invoker_rights_clause: AUTHID { CURRENT_USER | DEFINER } - matches.
img-00999	C	match	invoker_rights_clause: AUTHID { CURRENT_USER | DEFINER } - matches.
img-01052	C	match	invoker_rights_clause: AUTHID { CURRENT_USER | DEFINER } - matches.
img-02182	C	match	invoker_rights_clause: AUTHID { CURRENT_USER | DEFINER } - matches.
img-02190	C	match	invoker_rights_clause: AUTHID { CURRENT_USER | DEFINER } - matches.
img-02243	C	match	invoker_rights_clause: AUTHID { CURRENT_USER | DEFINER } - matches.
img-03307	C	match	invoker_rights_clause: AUTHID { CURRENT_USER | DEFINER } - matches.
img-03315	C	match	invoker_rights_clause: AUTHID { CURRENT_USER | DEFINER } - matches.
img-03368	C	match	invoker_rights_clause: AUTHID { CURRENT_USER | DEFINER } - matches.
img-03455	C	match	invoker_rights_clause: AUTHID { CURRENT_USER | DEFINER } - matches.
img-03463	C	match	invoker_rights_clause: AUTHID { CURRENT_USER | DEFINER } - matches.
img-04511	C	match	invoker_rights_clause: AUTHID { CURRENT_USER | DEFINER } - matches.
img-04519	C	match	invoker_rights_clause: AUTHID { CURRENT_USER | DEFINER } - matches.
img-04573	C	match	invoker_rights_clause: AUTHID { CURRENT_USER | DEFINER } - matches.
img-05638	C	match	invoker_rights_clause: AUTHID { CURRENT_USER | DEFINER } - matches.
img-05646	C	match	invoker_rights_clause: AUTHID { CURRENT_USER | DEFINER } - matches.
img-05699	C	match	invoker_rights_clause: AUTHID { CURRENT_USER | DEFINER } - matches.
img-05786	C	match	invoker_rights_clause: AUTHID { CURRENT_USER | DEFINER } - matches.
img-05794	C	match	invoker_rights_clause: AUTHID { CURRENT_USER | DEFINER } - matches.
img-06867	C	match	invoker_rights_clause: AUTHID { CURRENT_USER | DEFINER } - matches.
img-06875	C	match	invoker_rights_clause: AUTHID { CURRENT_USER | DEFINER } - matches.
img-06929	C	match	invoker_rights_clause: AUTHID { CURRENT_USER | DEFINER } - matches.
img-00656	C	match	datafile_spec: 'file_name' [SIZE integer [K|M|G]] [REUSE] [autoextend_clause] - all optional markers and tokens match.
img-00746	C	match	datafile_spec: 'file_name' [SIZE integer [K|M|G]] [REUSE] [autoextend_clause] - all optional markers and tokens match.
img-00760	C	match	datafile_spec: 'file_name' [SIZE integer [K|M|G]] [REUSE] [autoextend_clause] - all optional markers and tokens match.
img-01794	C	match	datafile_spec: 'file_name' [SIZE integer [K|M|G]] [REUSE] [autoextend_clause] - all optional markers and tokens match.
img-01884	C	match	datafile_spec: 'file_name' [SIZE integer [K|M|G]] [REUSE] [autoextend_clause] - all optional markers and tokens match.
img-01898	C	match	datafile_spec: 'file_name' [SIZE integer [K|M|G]] [REUSE] [autoextend_clause] - all optional markers and tokens match.
img-02972	C	match	datafile_spec: 'file_name' [SIZE integer [K|M|G]] [REUSE] [autoextend_clause] - all optional markers and tokens match.
img-03062	C	match	datafile_spec: 'file_name' [SIZE integer [K|M|G]] [REUSE] [autoextend_clause] - all optional markers and tokens match.
img-03076	C	match	datafile_spec: 'file_name' [SIZE integer [K|M|G]] [REUSE] [autoextend_clause] - all optional markers and tokens match.
img-04168	C	match	datafile_spec: 'file_name' [SIZE integer [K|M|G]] [REUSE] [autoextend_clause] - all optional markers and tokens match.
img-04259	C	match	datafile_spec: 'file_name' [SIZE integer [K|M|G]] [REUSE] [autoextend_clause] - all optional markers and tokens match.
img-04273	C	match	datafile_spec: 'file_name' [SIZE integer [K|M|G]] [REUSE] [autoextend_clause] - all optional markers and tokens match.
img-05303	C	match	datafile_spec: 'file_name' [SIZE integer [K|M|G]] [REUSE] [autoextend_clause] - all optional markers and tokens match.
img-05393	C	match	datafile_spec: 'file_name' [SIZE integer [K|M|G]] [REUSE] [autoextend_clause] - all optional markers and tokens match.
img-05407	C	match	datafile_spec: 'file_name' [SIZE integer [K|M|G]] [REUSE] [autoextend_clause] - all optional markers and tokens match.
img-06502	C	match	datafile_spec: 'file_name' [SIZE integer [K|M|G]] [REUSE] [autoextend_clause] - all optional markers and tokens match.
img-06593	C	match	datafile_spec: 'file_name' [SIZE integer [K|M|G]] [REUSE] [autoextend_clause] - all optional markers and tokens match.
img-06607	C	match	datafile_spec: 'file_name' [SIZE integer [K|M|G]] [REUSE] [autoextend_clause] - all optional markers and tokens match.
img-00806	C	match	where_clause: WHERE condition - matches.
img-00832	C	match	where_clause: WHERE condition - matches.
img-00845	C	match	where_clause: WHERE condition - matches.
img-01944	C	match	where_clause: WHERE condition - matches.
img-01973	C	match	where_clause: WHERE condition - matches.
img-01986	C	match	where_clause: WHERE condition - matches.
img-03122	C	match	where_clause: WHERE condition - matches.
img-03148	C	match	where_clause: WHERE condition - matches.
img-03161	C	match	where_clause: WHERE condition - matches.
img-04319	C	match	where_clause: WHERE condition - matches.
img-04348	C	match	where_clause: WHERE condition - matches.
img-04361	C	match	where_clause: WHERE condition - matches.
img-05453	C	match	where_clause: WHERE condition - matches.
img-05479	C	match	where_clause: WHERE condition - matches.
img-05492	C	match	where_clause: WHERE condition - matches.
img-06653	C	match	where_clause: WHERE condition - matches.
img-06682	C	match	where_clause: WHERE condition - matches.
img-06695	C	match	where_clause: WHERE condition - matches.
img-00808	C	match	limit_clause: LIMIT [row_offset ','] row_count - optional offset matches diagram.
img-00840	C	match	limit_clause: LIMIT [row_offset ','] row_count - optional offset matches diagram.
img-00846	C	match	limit_clause: LIMIT [row_offset ','] row_count - optional offset matches diagram.
img-01946	C	match	limit_clause: LIMIT [row_offset ','] row_count - optional offset matches diagram.
img-01981	C	match	limit_clause: LIMIT [row_offset ','] row_count - optional offset matches diagram.
img-01987	C	match	limit_clause: LIMIT [row_offset ','] row_count - optional offset matches diagram.
img-03124	C	match	limit_clause: LIMIT [row_offset ','] row_count - optional offset matches diagram.
img-03156	C	match	limit_clause: LIMIT [row_offset ','] row_count - optional offset matches diagram.
img-03162	C	match	limit_clause: LIMIT [row_offset ','] row_count - optional offset matches diagram.
img-04321	C	match	limit_clause: LIMIT [row_offset ','] row_count - optional offset matches diagram.
img-04356	C	match	limit_clause: LIMIT [row_offset ','] row_count - optional offset matches diagram.
img-04362	C	match	limit_clause: LIMIT [row_offset ','] row_count - optional offset matches diagram.
img-05455	C	match	limit_clause: LIMIT [row_offset ','] row_count - optional offset matches diagram.
img-05487	C	match	limit_clause: LIMIT [row_offset ','] row_count - optional offset matches diagram.
img-05493	C	match	limit_clause: LIMIT [row_offset ','] row_count - optional offset matches diagram.
img-06655	C	match	limit_clause: LIMIT [row_offset ','] row_count - optional offset matches diagram.
img-06690	C	match	limit_clause: LIMIT [row_offset ','] row_count - optional offset matches diagram.
img-06696	C	match	limit_clause: LIMIT [row_offset ','] row_count - optional offset matches diagram.
img-00990	C	match	parameter_declaration: parameter_name [{IN|OUT|IN OUT}] [NOCOPY] data_type [{DEFAULT|':='} expression] - all paths/optional markers match.
img-00998	C	match	parameter_declaration: parameter_name [{IN|OUT|IN OUT}] [NOCOPY] data_type [{DEFAULT|':='} expression] - all paths/optional markers match.
