ref_id	class	decided_by	rationale	raster_readable
img-00090	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00091	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00092	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00093	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00094	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00095	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00096	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00097	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00098	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00099	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00100	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00101	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00102	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00103	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00104	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00105	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00106	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00107	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00108	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00109	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00110	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00111	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00112	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00113	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00114	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00115	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00116	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00117	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00118	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00119	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00120	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00121	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00122	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00123	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00124	E	vision	process flowchart: troubleshooting procedure (check log -> judge -> collect -> analyse)	yes
img-00125	B	rule-cover	cover-page logo, carries no recoverable text	yes
img-00126	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00127	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00128	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00129	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00130	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00131	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00132	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00133	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00134	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00135	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00136	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00137	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00138	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00139	B	rule-cover	cover-page logo, carries no recoverable text	yes
img-00140	B	rule-cover	cover-page logo, carries no recoverable text	yes
img-00141	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00142	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00143	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00144	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00145	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00146	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00147	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00148	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00149	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00150	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00151	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00152	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00153	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00154	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00155	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00156	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00157	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00158	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00159	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00160	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00161	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00162	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00163	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00164	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00165	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00166	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00167	B	rule-cover	cover-page logo, carries no recoverable text	yes
img-00168	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00169	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00170	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00171	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00172	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00173	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00174	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00175	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00176	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00177	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00178	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00179	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00180	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00181	C	rule-railroad-bnf	railroad diagram for a ::= grammar production, image-only grammar	yes
img-00182	C	rule-railroad-bnf	railroad diagram for a ::= grammar production, image-only grammar	yes
img-00183	C	rule-railroad-bnf	railroad diagram for a ::= grammar production, image-only grammar	yes
img-00184	C	rule-railroad-bnf	railroad diagram for a ::= grammar production, image-only grammar	yes
img-00185	B	rule-cover	cover-page logo, carries no recoverable text	yes
img-00186	B	rule-cover	cover-page logo, carries no recoverable text	yes
img-00187	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00188	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00189	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00190	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00191	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00192	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00193	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00194	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00195	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00196	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00197	C	rule-railroad-synhead	railroad diagram directly under a Syntax heading, image-only grammar	yes
img-00198	C	rule-railroad-synhead	railroad diagram directly under a Syntax heading, image-only grammar	yes
img-00199	C	rule-railroad-synhead	railroad diagram directly under a Syntax heading, image-only grammar	yes
img-00200	C	rule-railroad-bnf	railroad diagram for a ::= grammar production, image-only grammar	yes
img-00201	C	rule-railroad-bnf	railroad diagram for a ::= grammar production, image-only grammar	yes
img-00202	C	rule-railroad-bnf	railroad diagram for a ::= grammar production, image-only grammar	yes
img-00203	C	rule-railroad-bnf	railroad diagram for a ::= grammar production, image-only grammar	yes
img-00204	C	rule-railroad-bnf	railroad diagram for a ::= grammar production, image-only grammar	yes
img-00205	C	rule-railroad-bnf	railroad diagram for a ::= grammar production, image-only grammar	yes
img-00206	C	rule-railroad-synhead	railroad diagram directly under a Syntax heading, image-only grammar	yes
img-00207	C	rule-railroad-bnf	railroad diagram for a ::= grammar production, image-only grammar	yes
img-00208	C	rule-railroad-bnf	railroad diagram for a ::= grammar production, image-only grammar	yes
img-00209	C	rule-railroad-bnf	railroad diagram for a ::= grammar production, image-only grammar	yes
img-00210	C	rule-railroad-bnf	railroad diagram for a ::= grammar production, image-only grammar	yes
img-00211	C	rule-railroad-bnf	railroad diagram for a ::= grammar production, image-only grammar	yes
img-00212	C	rule-railroad-bnf	railroad diagram for a ::= grammar production, image-only grammar	yes
img-00213	C	rule-railroad-synhead	railroad diagram directly under a Syntax heading, image-only grammar	yes
img-00214	C	rule-railroad-bnf	railroad diagram for a ::= grammar production, image-only grammar	yes
img-00215	C	rule-railroad-bnf	railroad diagram for a ::= grammar production, image-only grammar	yes
img-00216	C	rule-railroad-bnf	railroad diagram for a ::= grammar production, image-only grammar	yes
img-00217	B	rule-cover	cover-page logo, carries no recoverable text	yes
img-00218	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00219	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00220	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00221	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00222	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00223	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00224	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00225	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00226	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00227	A	rule-syntax-textblock	syntax diagram redundant with the adjacent text Syntax block	yes
img-00228	A	rule-syntax-textblock	syntax diagram redundant with the adjacent text Syntax block	yes
img-00229	A	rule-syntax-textblock	syntax diagram redundant with the adjacent text Syntax block	yes
img-00230	A	rule-syntax-textblock	syntax diagram redundant with the adjacent text Syntax block	yes
img-00231	A	rule-syntax-textblock	syntax diagram redundant with the adjacent text Syntax block	yes
img-00232	A	rule-syntax-textblock	syntax diagram redundant with the adjacent text Syntax block	yes
img-00233	A	rule-syntax-textblock	syntax diagram redundant with the adjacent text Syntax block	yes
img-00234	A	rule-syntax-textblock	syntax diagram redundant with the adjacent text Syntax block	yes
img-00235	A	rule-syntax-textblock	syntax diagram redundant with the adjacent text Syntax block	yes
img-00236	A	rule-syntax-textblock	syntax diagram redundant with the adjacent text Syntax block	yes
img-00237	A	rule-syntax-textblock	syntax diagram redundant with the adjacent text Syntax block	yes
img-00238	A	rule-syntax-textblock	syntax diagram redundant with the adjacent text Syntax block	yes
img-00239	A	rule-syntax-textblock	syntax diagram redundant with the adjacent text Syntax block	yes
img-00240	A	rule-syntax-textblock	syntax diagram redundant with the adjacent text Syntax block	yes
img-00241	A	rule-syntax-textblock	syntax diagram redundant with the adjacent text Syntax block	yes
img-00242	A	rule-syntax-textblock	syntax diagram redundant with the adjacent text Syntax block	yes
img-00243	A	rule-syntax-textblock	syntax diagram redundant with the adjacent text Syntax block	yes
img-00244	A	rule-syntax-textblock	syntax diagram redundant with the adjacent text Syntax block	yes
img-00245	A	rule-syntax-textblock	syntax diagram redundant with the adjacent text Syntax block	yes
img-00246	A	rule-syntax-textblock	syntax diagram redundant with the adjacent text Syntax block	yes
img-00247	A	rule-syntax-textblock	syntax diagram redundant with the adjacent text Syntax block	yes
img-00248	B	rule-cover	cover-page logo, carries no recoverable text	yes
img-00249	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00250	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00251	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00252	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00253	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00254	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00255	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00256	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00257	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00258	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00259	B	rule-cover	cover-page logo, carries no recoverable text	yes
img-00260	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00261	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00262	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00263	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00264	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00265	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00266	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00267	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00268	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00269	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00270	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00271	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00272	B	rule-cover	cover-page logo, carries no recoverable text	yes
img-00273	B	rule-cover	cover-page logo, carries no recoverable text	yes
img-00274	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00275	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00276	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00277	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00278	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00279	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00280	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00281	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00282	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00283	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00284	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00285	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00286	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00287	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00288	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00289	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00290	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00291	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00292	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00293	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00294	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00295	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00296	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00297	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00298	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00299	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00300	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00301	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00302	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00303	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00304	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00305	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00306	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00307	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00308	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00309	B	rule-residual-conceptual	conceptual/architecture diagram, screenshot or illustration redundant with prose	yes
img-00310	B	rule-cover	cover-page logo, carries no recoverable text	yes
img-00311	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00312	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00313	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00314	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
img-00315	B	rule-table-cell	symbol/icon in a table cell, explained by the adjacent cell	yes
