upload_file_id	upload_path	playbook_id	playbook_title	validation_status	generated_artifact_types	required_missing_input_prompts	protected_topic	guardrail_ids	upload_visibility	route_status	notes
UPKG-002	GPTs/upload_package/02_administration_operations.md	APB-000006	Backup And Recovery Playbook	pass	commands;runbook;validation_sql;recovery_plan	target_version;backup_mode;archive_log_state;datafile_paths;failure_scope;restore_target;rollback_plan;backup_inventory;recovery_point	yes	CONF-000004;CONF-000005;CONF-000007	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-002	GPTs/upload_package/02_administration_operations.md	APB-000016	Protected Administration Operations Playbook	pass	commands;SQL;configuration;validation_sql;runbook;recovery_plan	target_version;patch_level;operation_class;object_names;startup_phase;source_section;validation_plan;rollback_plan;recovery_plan	yes	CONF-000004;CONF-000005;CONF-000007	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-002	GPTs/upload_package/02_administration_operations.md	APB-000001	Installation And Startup Playbook	pass	commands;configuration;runbook;validation_sql	target_version;patch_level;platform;install_path;instance_name;startup_state;license_path;rollback_plan	yes	CONF-000004;CONF-000007	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-002	GPTs/upload_package/02_administration_operations.md	APB-000004	Properties Playbook	pass	configuration;SQL;commands;validation_sql	target_version;property_name;current_value;desired_value;restart_window;rollback_plan;startup_phase;source_section	yes	CONF-000004;CONF-000005	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-002	GPTs/upload_package/02_administration_operations.md	APB-000005	Dictionary And Views Playbook	pass	SQL;diagnostics;validation_sql	target_version;object_name;view_name;expected_columns;runtime_state	no	CONF-000005	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-002	GPTs/upload_package/02_administration_operations.md	APB-000017	AID, Version, Release, And Patch Routing Playbook	pass	routing_matrix;source_recheck_plan;version_boundary_note;patch_token_packet;aid_decision_packet;validation_checks	target_version;patch_level;source_id;aid_tier;source_label;release_note_version;bug_or_task_token;platform;tool_version;runtime_evidence;conflict_or_limitation_id;upload_package_decision	yes	CONF-000001;CONF-000002;CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008;CONF-000009	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-002	GPTs/upload_package/02_administration_operations.md	APB-000014	Test Generation Playbook	planned	tests;SQL;commands;cleanup	target_version;feature_under_test;setup_objects;negative_case;expected_output;cleanup_plan	no	CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008	deferred_not_uploaded	deferred_guardrail	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-003	GPTs/upload_package/03_sql_ddl_generation.md	APB-000002	DDL And DCL Generation Playbook	pass	DDL;DCL;SQL;validation_sql	target_version;object_names;schema_names;tablespace_names;privileges;rollback_plan	yes	CONF-000004;CONF-000005	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-003	GPTs/upload_package/03_sql_ddl_generation.md	APB-000005	Dictionary And Views Playbook	pass	SQL;diagnostics;validation_sql	target_version;object_name;view_name;expected_columns;runtime_state	no	CONF-000005	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-003	GPTs/upload_package/03_sql_ddl_generation.md	APB-000006	Backup And Recovery Playbook	pass	commands;runbook;validation_sql;recovery_plan	target_version;backup_mode;archive_log_state;datafile_paths;failure_scope;restore_target;rollback_plan;backup_inventory;recovery_point	yes	CONF-000004;CONF-000005;CONF-000007	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-003	GPTs/upload_package/03_sql_ddl_generation.md	APB-000007	Replication And CDC Playbook	pass	DDL;SQL;commands;configuration;runbook;diagnostics;validation_sql	target_version;patch_level;topology;replication_mode;local_host;remote_host;replication_ports;replication_state;object_definitions;primary_keys;character_sets;logs;tool_version;rollback_plan;validation_plan	yes	CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-003	GPTs/upload_package/03_sql_ddl_generation.md	APB-000016	Protected Administration Operations Playbook	pass	commands;SQL;configuration;validation_sql;runbook;recovery_plan	target_version;patch_level;operation_class;object_names;startup_phase;source_section;validation_plan;rollback_plan;recovery_plan	yes	CONF-000004;CONF-000005;CONF-000007	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-003	GPTs/upload_package/03_sql_ddl_generation.md	APB-000017	AID, Version, Release, And Patch Routing Playbook	pass	routing_matrix;source_recheck_plan;version_boundary_note;patch_token_packet;aid_decision_packet;validation_checks	target_version;patch_level;source_id;aid_tier;source_label;release_note_version;bug_or_task_token;platform;tool_version;runtime_evidence;conflict_or_limitation_id;upload_package_decision	yes	CONF-000001;CONF-000002;CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008;CONF-000009	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-003	GPTs/upload_package/03_sql_ddl_generation.md	APB-000014	Test Generation Playbook	planned	tests;SQL;commands;cleanup	target_version;feature_under_test;setup_objects;negative_case;expected_output;cleanup_plan	no	CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008	deferred_not_uploaded	deferred_guardrail	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-004	GPTs/upload_package/04_sql_dml_oracle_compatibility.md	APB-000003	SQL And Data Types Playbook	pass	SQL;DML;tests;validation_sql	target_version;object_definitions;data_types;sample_data;expected_result	yes	CONF-000005	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-004	GPTs/upload_package/04_sql_dml_oracle_compatibility.md	APB-000015	Service Development And Artifact Generation Playbook	pass	service_plan;DDL;DCL;DML;SQL;configuration;validation_sql;test_plan	target_version;patch_level;service_goal;workload;schema_names;object_definitions;privilege_model;property_requirements;validation_plan;rollback_plan	yes	CONF-000004;CONF-000005	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-004	GPTs/upload_package/04_sql_dml_oracle_compatibility.md	APB-000017	AID, Version, Release, And Patch Routing Playbook	pass	routing_matrix;source_recheck_plan;version_boundary_note;patch_token_packet;aid_decision_packet;validation_checks	target_version;patch_level;source_id;aid_tier;source_label;release_note_version;bug_or_task_token;platform;tool_version;runtime_evidence;conflict_or_limitation_id;upload_package_decision	yes	CONF-000001;CONF-000002;CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008;CONF-000009	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-004	GPTs/upload_package/04_sql_dml_oracle_compatibility.md	APB-000014	Test Generation Playbook	planned	tests;SQL;commands;cleanup	target_version;feature_under_test;setup_objects;negative_case;expected_output;cleanup_plan	no	CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008	deferred_not_uploaded	deferred_guardrail	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-005	GPTs/upload_package/05_data_types_properties.md	APB-000003	SQL And Data Types Playbook	pass	SQL;DML;tests;validation_sql	target_version;object_definitions;data_types;sample_data;expected_result	yes	CONF-000005	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-005	GPTs/upload_package/05_data_types_properties.md	APB-000004	Properties Playbook	pass	configuration;SQL;commands;validation_sql	target_version;property_name;current_value;desired_value;restart_window;rollback_plan;startup_phase;source_section	yes	CONF-000004;CONF-000005	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-005	GPTs/upload_package/05_data_types_properties.md	APB-000005	Dictionary And Views Playbook	pass	SQL;diagnostics;validation_sql	target_version;object_name;view_name;expected_columns;runtime_state	no	CONF-000005	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-005	GPTs/upload_package/05_data_types_properties.md	APB-000015	Service Development And Artifact Generation Playbook	pass	service_plan;DDL;DCL;DML;SQL;configuration;validation_sql;test_plan	target_version;patch_level;service_goal;workload;schema_names;object_definitions;privilege_model;property_requirements;validation_plan;rollback_plan	yes	CONF-000004;CONF-000005	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-005	GPTs/upload_package/05_data_types_properties.md	APB-000016	Protected Administration Operations Playbook	pass	commands;SQL;configuration;validation_sql;runbook;recovery_plan	target_version;patch_level;operation_class;object_names;startup_phase;source_section;validation_plan;rollback_plan;recovery_plan	yes	CONF-000004;CONF-000005;CONF-000007	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-005	GPTs/upload_package/05_data_types_properties.md	APB-000017	AID, Version, Release, And Patch Routing Playbook	pass	routing_matrix;source_recheck_plan;version_boundary_note;patch_token_packet;aid_decision_packet;validation_checks	target_version;patch_level;source_id;aid_tier;source_label;release_note_version;bug_or_task_token;platform;tool_version;runtime_evidence;conflict_or_limitation_id;upload_package_decision	yes	CONF-000001;CONF-000002;CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008;CONF-000009	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-005	GPTs/upload_package/05_data_types_properties.md	APB-000014	Test Generation Playbook	planned	tests;SQL;commands;cleanup	target_version;feature_under_test;setup_objects;negative_case;expected_output;cleanup_plan	no	CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008	deferred_not_uploaded	deferred_guardrail	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-006	GPTs/upload_package/06_data_dictionary_performance_views.md	APB-000004	Properties Playbook	pass	configuration;SQL;commands;validation_sql	target_version;property_name;current_value;desired_value;restart_window;rollback_plan;startup_phase;source_section	yes	CONF-000004;CONF-000005	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-006	GPTs/upload_package/06_data_dictionary_performance_views.md	APB-000005	Dictionary And Views Playbook	pass	SQL;diagnostics;validation_sql	target_version;object_name;view_name;expected_columns;runtime_state	no	CONF-000005	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-006	GPTs/upload_package/06_data_dictionary_performance_views.md	APB-000007	Replication And CDC Playbook	pass	DDL;SQL;commands;configuration;runbook;diagnostics;validation_sql	target_version;patch_level;topology;replication_mode;local_host;remote_host;replication_ports;replication_state;object_definitions;primary_keys;character_sets;logs;tool_version;rollback_plan;validation_plan	yes	CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-006	GPTs/upload_package/06_data_dictionary_performance_views.md	APB-000013	Errors And Troubleshooting Playbook	pass	diagnostics;SQL;commands;configuration;monitoring_checks;validation_sql;next_checks;escalation_packet	target_version;patch_level;exact_error_code;error_symbol;error_message;log_excerpt;object_definitions;runtime_state;SQL_or_command;symptom_timeline;monitoring_route;rollback_plan;escalation_goal	yes	CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-006	GPTs/upload_package/06_data_dictionary_performance_views.md	APB-000017	AID, Version, Release, And Patch Routing Playbook	pass	routing_matrix;source_recheck_plan;version_boundary_note;patch_token_packet;aid_decision_packet;validation_checks	target_version;patch_level;source_id;aid_tier;source_label;release_note_version;bug_or_task_token;platform;tool_version;runtime_evidence;conflict_or_limitation_id;upload_package_decision	yes	CONF-000001;CONF-000002;CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008;CONF-000009	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-006	GPTs/upload_package/06_data_dictionary_performance_views.md	APB-000014	Test Generation Playbook	planned	tests;SQL;commands;cleanup	target_version;feature_under_test;setup_objects;negative_case;expected_output;cleanup_plan	no	CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008	deferred_not_uploaded	deferred_guardrail	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-007	GPTs/upload_package/07_error_messages_troubleshooting.md	APB-000013	Errors And Troubleshooting Playbook	pass	diagnostics;SQL;commands;configuration;monitoring_checks;validation_sql;next_checks;escalation_packet	target_version;patch_level;exact_error_code;error_symbol;error_message;log_excerpt;object_definitions;runtime_state;SQL_or_command;symptom_timeline;monitoring_route;rollback_plan;escalation_goal	yes	CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-007	GPTs/upload_package/07_error_messages_troubleshooting.md	APB-000006	Backup And Recovery Playbook	pass	commands;runbook;validation_sql;recovery_plan	target_version;backup_mode;archive_log_state;datafile_paths;failure_scope;restore_target;rollback_plan;backup_inventory;recovery_point	yes	CONF-000004;CONF-000005;CONF-000007	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-007	GPTs/upload_package/07_error_messages_troubleshooting.md	APB-000016	Protected Administration Operations Playbook	pass	commands;SQL;configuration;validation_sql;runbook;recovery_plan	target_version;patch_level;operation_class;object_names;startup_phase;source_section;validation_plan;rollback_plan;recovery_plan	yes	CONF-000004;CONF-000005;CONF-000007	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-007	GPTs/upload_package/07_error_messages_troubleshooting.md	APB-000017	AID, Version, Release, And Patch Routing Playbook	pass	routing_matrix;source_recheck_plan;version_boundary_note;patch_token_packet;aid_decision_packet;validation_checks	target_version;patch_level;source_id;aid_tier;source_label;release_note_version;bug_or_task_token;platform;tool_version;runtime_evidence;conflict_or_limitation_id;upload_package_decision	yes	CONF-000001;CONF-000002;CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008;CONF-000009	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-007	GPTs/upload_package/07_error_messages_troubleshooting.md	APB-000014	Test Generation Playbook	planned	tests;SQL;commands;cleanup	target_version;feature_under_test;setup_objects;negative_case;expected_output;cleanup_plan	no	CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008	deferred_not_uploaded	deferred_guardrail	Dedicated test-generation route remains deferred; upload Markdown may include validation checks but does not claim a complete test-generation playbook.
UPKG-008	GPTs/upload_package/08_performance_tuning_monitoring.md	APB-000004	Properties Playbook	pass	configuration;SQL;commands;validation_sql	target_version;property_name;current_value;desired_value;restart_window;rollback_plan;startup_phase;source_section	yes	CONF-000004;CONF-000005	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-008	GPTs/upload_package/08_performance_tuning_monitoring.md	APB-000005	Dictionary And Views Playbook	pass	SQL;diagnostics;validation_sql	target_version;object_name;view_name;expected_columns;runtime_state	no	CONF-000005	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-008	GPTs/upload_package/08_performance_tuning_monitoring.md	APB-000013	Errors And Troubleshooting Playbook	pass	diagnostics;SQL;commands;configuration;monitoring_checks;validation_sql;next_checks;escalation_packet	target_version;patch_level;exact_error_code;error_symbol;error_message;log_excerpt;object_definitions;runtime_state;SQL_or_command;symptom_timeline;monitoring_route;rollback_plan;escalation_goal	yes	CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-008	GPTs/upload_package/08_performance_tuning_monitoring.md	APB-000015	Service Development And Artifact Generation Playbook	pass	service_plan;DDL;DCL;DML;SQL;configuration;validation_sql;test_plan	target_version;patch_level;service_goal;workload;schema_names;object_definitions;privilege_model;property_requirements;validation_plan;rollback_plan	yes	CONF-000004;CONF-000005	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-008	GPTs/upload_package/08_performance_tuning_monitoring.md	APB-000016	Protected Administration Operations Playbook	pass	commands;SQL;configuration;validation_sql;runbook;recovery_plan	target_version;patch_level;operation_class;object_names;startup_phase;source_section;validation_plan;rollback_plan;recovery_plan	yes	CONF-000004;CONF-000005;CONF-000007	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-008	GPTs/upload_package/08_performance_tuning_monitoring.md	APB-000017	AID, Version, Release, And Patch Routing Playbook	pass	routing_matrix;source_recheck_plan;version_boundary_note;patch_token_packet;aid_decision_packet;validation_checks	target_version;patch_level;source_id;aid_tier;source_label;release_note_version;bug_or_task_token;platform;tool_version;runtime_evidence;conflict_or_limitation_id;upload_package_decision	yes	CONF-000001;CONF-000002;CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008;CONF-000009	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-008	GPTs/upload_package/08_performance_tuning_monitoring.md	APB-000014	Test Generation Playbook	planned	tests;SQL;commands;cleanup	target_version;feature_under_test;setup_objects;negative_case;expected_output;cleanup_plan	no	CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008	deferred_not_uploaded	deferred_guardrail	Dedicated test-generation route remains deferred; upload Markdown may include validation checks but does not claim a complete test-generation playbook.
UPKG-009	GPTs/upload_package/09_replication_ha_cdc.md	APB-000002	DDL And DCL Generation Playbook	pass	DDL;DCL;SQL;validation_sql	target_version;object_names;schema_names;tablespace_names;privileges;rollback_plan	yes	CONF-000004;CONF-000005	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-009	GPTs/upload_package/09_replication_ha_cdc.md	APB-000004	Properties Playbook	pass	configuration;SQL;commands;validation_sql	target_version;property_name;current_value;desired_value;restart_window;rollback_plan;startup_phase;source_section	yes	CONF-000004;CONF-000005	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-009	GPTs/upload_package/09_replication_ha_cdc.md	APB-000005	Dictionary And Views Playbook	pass	SQL;diagnostics;validation_sql	target_version;object_name;view_name;expected_columns;runtime_state	no	CONF-000005	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-009	GPTs/upload_package/09_replication_ha_cdc.md	APB-000007	Replication And CDC Playbook	pass	DDL;SQL;commands;configuration;runbook;diagnostics;validation_sql	target_version;patch_level;topology;replication_mode;local_host;remote_host;replication_ports;replication_state;object_definitions;primary_keys;character_sets;logs;tool_version;rollback_plan;validation_plan	yes	CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-009	GPTs/upload_package/09_replication_ha_cdc.md	APB-000008	Security And TLS Playbook	pass	configuration;commands;validation_checks	target_version;certificate_paths;access_policy;client_type;network_path;rollback_plan;openssl_version;authentication_mode	yes	CONF-000004;CONF-000006;CONF-000007	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-009	GPTs/upload_package/09_replication_ha_cdc.md	APB-000012	Migration And Integrations Playbook	pass	commands;scripts;configuration;mapping_notes;validation_checks;SQL;YAML;runbook	target_version;patch_level;third_party_version;source_database;target_schema;tool_version;compatibility_evidence;jdbc_driver;rollback_plan	yes	CONF-000004;CONF-000006;CONF-000007;CONF-000009	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-009	GPTs/upload_package/09_replication_ha_cdc.md	APB-000017	AID, Version, Release, And Patch Routing Playbook	pass	routing_matrix;source_recheck_plan;version_boundary_note;patch_token_packet;aid_decision_packet;validation_checks	target_version;patch_level;source_id;aid_tier;source_label;release_note_version;bug_or_task_token;platform;tool_version;runtime_evidence;conflict_or_limitation_id;upload_package_decision	yes	CONF-000001;CONF-000002;CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008;CONF-000009	customer_readable_route_only_no_playbook_ids_in_upload	routed	Task route is represented as customer-readable routing text in upload Markdown; internal playbook IDs stay in this crosswalk.
UPKG-009	GPTs/upload_package/09_replication_ha_cdc.md	APB-000014	Test Generation Playbook	planned	tests;SQL;commands;cleanup	target_version;feature_under_test;setup_objects;negative_case;expected_output;cleanup_plan	no	CONF-000004;CONF-000005;CONF-000006;CONF-000007;CONF-000008	deferred_not_uploaded	deferred_guardrail	Dedicated test-generation route remains deferred; upload Markdown may include validation checks but does not claim a complete test-generation playbook.
