conflict_id	source_id	source_family	version_scope	source_path	source_pack_shard_id	source_pack_block_id	baseline_block_id	current_routing_status	assigned_remediation_job	intended_disposition
CONF-000008	SRC-000191	source_index	8.1_verified	Manuals/Altibase_trunk/kor/README.md	SHARD-012	BLOCK-000862	KAE-BLOCK-000284	exact_source_pack_route	S1R-J004	exact_source_pack_route
CONF-000008	SRC-000193	monitoring_api_snmp	8.1_verified	Manuals/Altibase_trunk/kor/SNMP Agent Guide.md	SHARD-011	BLOCK-000614	KAE-BLOCK-000282	aligned_baseline	S1R-J003	aligned_baseline
CONF-000008	SRC-000196	stored_external_procedures	8.1_verified	Manuals/Altibase_trunk/kor/Stored Procedures Manual.md	SHARD-015	BLOCK-000907	KAE-BLOCK-000277	aligned_baseline	S1R-J002	aligned_baseline
CONF-000008	SRC-000203	source_index	multi	Manuals/Tools/Altibase_release/eng/README.md	SHARD-012	BLOCK-000865	KAE-BLOCK-000284	exact_source_pack_route	S1R-J004	exact_source_pack_route
CONF-000008	SRC-000204	replication_manager	multi	Manuals/Tools/Altibase_release/eng/Replication Manager User's Manual.md	SHARD-012	BLOCK-000842	KAE-BLOCK-000236	blocked_pending_baseline_alignment	S1R-J005	aligned_baseline
CONF-000008	SRC-000210	source_index	multi	Manuals/Tools/Altibase_release/kor/README.md	SHARD-012	BLOCK-000866	KAE-BLOCK-000284	exact_source_pack_route	S1R-J004	exact_source_pack_route
CONF-000008	SRC-000211	replication_manager	multi	Manuals/Tools/Altibase_release/kor/Replication Manager User's Manual.md	SHARD-012	BLOCK-000843	KAE-BLOCK-000236	blocked_pending_baseline_alignment	S1R-J005	aligned_baseline
CONF-000008	SRC-000217	source_index	8.1_verified	Manuals/Tools/Altibase_trunk/eng/README.md	SHARD-012	BLOCK-000863	KAE-BLOCK-000284	exact_source_pack_route	S1R-J004	exact_source_pack_route
CONF-000008	SRC-000218	replication_manager	8.1_verified	Manuals/Tools/Altibase_trunk/eng/Replication Manager User's Manual.md	SHARD-012	BLOCK-000834	KAE-BLOCK-000216	blocked_pending_baseline_alignment	S1R-J005	aligned_baseline
CONF-000008	SRC-000224	source_index	8.1_verified	Manuals/Tools/Altibase_trunk/kor/README.md	SHARD-012	BLOCK-000864	KAE-BLOCK-000284	exact_source_pack_route	S1R-J004	exact_source_pack_route
CONF-000008	SRC-000225	replication_manager	8.1_verified	Manuals/Tools/Altibase_trunk/kor/Replication Manager User's Manual.md	SHARD-012	BLOCK-000835	KAE-BLOCK-000216	blocked_pending_baseline_alignment	S1R-J005	aligned_baseline
CONF-000009	SRC-000109	stored_external_procedures	7.3	Manuals/Altibase_7.3/eng/media/StoredProcedure/StoredProcedure1_Eng.md	SHARD-015	BLOCK-000900	KAE-BLOCK-000279	nonblocking_exclusion	S1R-J002	nonblocking_exclusion
CONF-000009	SRC-000169	stored_external_procedures	8.1_verified	Manuals/Altibase_trunk/eng/media/StoredProcedure/StoredProcedure1_Eng.md	SHARD-015	BLOCK-000905	KAE-BLOCK-000279	nonblocking_exclusion	S1R-J002	nonblocking_exclusion
